No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.100.51,192.168.100.52,FTP-DATA,1540,FTP Data: 1460 bytes
2,0.000004,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
3,0.000191,192.168.100.51,192.168.100.52,FTP-DATA,668,FTP Data: 588 bytes
4,0.000195,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
5,0.000439,192.168.100.52,192.168.100.51,TCP,80,1075  >  20 [ACK] Seq=1 Ack=2049 Win=17520 Len=0
6,0.00082,,AskeyCompute_bd:77:35,802.11,10,"Acknowledgement, Flags=........"
7,0.000824,192.168.100.51,192.168.100.52,FTP-DATA,1540,FTP Data: 1460 bytes
8,0.000829,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
9,0.001072,192.168.100.51,192.168.100.52,FTP-DATA,668,FTP Data: 588 bytes
10,0.001111,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
11,0.001222,192.168.100.52,192.168.100.51,TCP,80,1075  >  20 [ACK] Seq=1 Ack=4097 Win=17520 Len=0
12,0.001717,,AskeyCompute_bd:77:35,802.11,10,"Acknowledgement, Flags=........"
13,0.001722,192.168.100.51,192.168.100.52,FTP-DATA,1540,FTP Data: 1460 bytes
14,0.001727,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
15,0.001945,192.168.100.51,192.168.100.52,FTP-DATA,668,FTP Data: 588 bytes
16,0.001951,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
17,0.002085,192.168.100.52,192.168.100.51,TCP,80,1075  >  20 [ACK] Seq=1 Ack=6145 Win=17520 Len=0
18,0.002538,,AskeyCompute_bd:77:35,802.11,10,"Acknowledgement, Flags=........"
19,0.002544,192.168.100.51,192.168.100.52,FTP-DATA,1540,FTP Data: 1460 bytes
20,0.002548,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
21,0.00273,192.168.100.51,192.168.100.52,FTP-DATA,668,FTP Data: 588 bytes
22,0.002772,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
23,0.003903,192.168.100.51,192.168.100.52,FTP-DATA,1540,FTP Data: 1460 bytes
24,0.003909,192.168.100.52,192.168.100.51,TCP,80,1075  >  20 [ACK] Seq=1 Ack=8193 Win=17520 Len=0
25,0.004059,,AskeyCompute_bd:77:35,802.11,10,"Acknowledgement, Flags=........"
26,0.004064,192.168.100.51,192.168.100.52,TCP,1540,"[TCP Retransmission] 20  >  1075 [PSH, ACK] Seq=8193 Ack=1 Win=65535 Len=1460"
27,0.004068,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
28,0.004275,192.168.100.51,192.168.100.52,FTP-DATA,668,FTP Data: 588 bytes
29,0.00432,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
30,0.004416,192.168.100.52,192.168.100.51,TCP,80,1075  >  20 [ACK] Seq=1 Ack=10241 Win=17520 Len=0
31,0.004838,,AskeyCompute_bd:77:35,802.11,10,"Acknowledgement, Flags=........"
32,0.004842,192.168.100.51,192.168.100.52,FTP-DATA,1104,FTP Data: 1024 bytes
33,0.004845,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
34,0.005172,192.168.100.51,192.168.100.52,FTP-DATA,1540,FTP Data: 1460 bytes
35,0.005177,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
36,0.00529,192.168.100.52,192.168.100.51,TCP,80,1075  >  20 [ACK] Seq=1 Ack=12725 Win=17520 Len=0
37,0.005609,,AskeyCompute_bd:77:35,802.11,10,"Acknowledgement, Flags=........"
38,0.005613,192.168.100.51,192.168.100.52,FTP-DATA,668,FTP Data: 588 bytes
39,0.005617,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
40,0.005951,192.168.100.51,192.168.100.52,FTP-DATA,1104,FTP Data: 1024 bytes
41,0.005955,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
42,0.006067,192.168.100.52,192.168.100.51,TCP,80,1075  >  20 [ACK] Seq=1 Ack=14337 Win=17520 Len=0
43,0.006576,,AskeyCompute_bd:77:35,802.11,10,"Acknowledgement, Flags=........"
44,0.00658,192.168.100.51,192.168.100.52,FTP-DATA,1540,FTP Data: 1460 bytes
45,0.006584,,Cisco_fa:7e:50,802.11,10,"Acknowledgement, Flags=........"
46,0.006845,192.168.100.51,192.168.100.52,FTP-DATA,668,FTP Data: 588 bytes
