"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","TpLinkTechno_37:9b:f6","Broadcast","ARP","42","Who has 192.168.1.27? Tell 192.168.1.1"
"2","0.000135","HewlettPacka_22:74:fb","TpLinkTechno_37:9b:f6","ARP","42","192.168.1.27 is at bc:ea:fa:22:74:fb"
"3","0.139067","192.168.1.27","192.168.1.1","DNS","73","Standard query 0x56f1 A savory.com.bd"
"4","0.157318","192.168.1.1","192.168.1.27","DNS","89","Standard query response 0x56f1 A savory.com.bd A 45.56.99.101"
"5","0.162373","192.168.1.27","45.56.99.101","TCP","66","51952  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","0.235714","45.56.99.101","192.168.1.27","TCP","58","80  >  51952 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"7","0.236136","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"8","0.237816","192.168.1.27","45.56.99.101","HTTP","130","GET /sav/Ztvfo.png HTTP/1.1 "
"9","0.238019","45.56.99.101","192.168.1.27","TCP","54","80  >  51952 [ACK] Seq=1 Ack=77 Win=64240 Len=0"
"10","0.309642","45.56.99.101","192.168.1.27","TCP","399","80  >  51952 [PSH, ACK] Seq=1 Ack=77 Win=64240 Len=345 [TCP PDU reassembled in 616]"
"11","0.311054","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=346 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"12","0.311057","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=1806 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"13","0.311058","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=3266 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"14","0.311252","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=4438 Win=64240 Len=0"
"15","0.311441","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=4438 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"16","0.311444","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=5898 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"17","0.311446","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=7358 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"18","0.311451","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=8818 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"19","0.311453","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=10278 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"20","0.311454","45.56.99.101","192.168.1.27","TCP","938","80  >  51952 [PSH, ACK] Seq=11738 Ack=77 Win=64240 Len=884 [TCP PDU reassembled in 616]"
"21","0.311684","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=12622 Win=64240 Len=0"
"22","0.376821","45.56.99.101","192.168.1.27","TCP","1418","80  >  51952 [PSH, ACK] Seq=12622 Ack=77 Win=64240 Len=1364 [TCP PDU reassembled in 616]"
"23","0.377066","45.56.99.101","192.168.1.27","TCP","1418","80  >  51952 [PSH, ACK] Seq=13986 Ack=77 Win=64240 Len=1364 [TCP PDU reassembled in 616]"
"24","0.377248","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=15350 Win=64240 Len=0"
"25","0.383536","45.56.99.101","192.168.1.27","TCP","1418","80  >  51952 [PSH, ACK] Seq=15350 Ack=77 Win=64240 Len=1364 [TCP PDU reassembled in 616]"
"26","0.384697","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=16714 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"27","0.384702","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=18174 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"28","0.384705","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=19634 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"29","0.384707","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=21094 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"30","0.384711","45.56.99.101","192.168.1.27","TCP","1034","80  >  51952 [PSH, ACK] Seq=22554 Ack=77 Win=64240 Len=980 [TCP PDU reassembled in 616]"
"31","0.385066","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=23534 Win=64240 Len=0"
"32","0.390657","45.56.99.101","192.168.1.27","TCP","1418","80  >  51952 [PSH, ACK] Seq=23534 Ack=77 Win=64240 Len=1364 [TCP PDU reassembled in 616]"
"33","0.391257","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=24898 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"34","0.391262","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=26358 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"35","0.391264","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=27818 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"36","0.391514","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=28990 Win=64240 Len=0"
"37","0.391781","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=28990 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"38","0.391786","45.56.99.101","192.168.1.27","TCP","1322","80  >  51952 [PSH, ACK] Seq=30450 Ack=77 Win=64240 Len=1268 [TCP PDU reassembled in 616]"
"39","0.391965","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=31718 Win=64240 Len=0"
"40","0.392454","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=31718 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"41","0.392458","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=33178 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"42","0.392460","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=34638 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"43","0.392492","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=35810 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"44","0.392498","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=37270 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
"45","0.392500","45.56.99.101","192.168.1.27","TCP","1226","80  >  51952 [PSH, ACK] Seq=38730 Ack=77 Win=64240 Len=1172 [TCP PDU reassembled in 616]"
"46","0.392771","192.168.1.27","45.56.99.101","TCP","54","51952  >  80 [ACK] Seq=77 Ack=39902 Win=64240 Len=0"
"47","0.457022","45.56.99.101","192.168.1.27","TCP","1418","80  >  51952 [PSH, ACK] Seq=39902 Ack=77 Win=64240 Len=1364 [TCP PDU reassembled in 616]"
"48","0.457552","45.56.99.101","192.168.1.27","TCP","1514","80  >  51952 [ACK] Seq=41266 Ack=77 Win=64240 Len=1460 [TCP PDU reassembled in 616]"
